Name,Brand,Ratings,No_of_ratings,No_of_reviews,Product_features,MSP,MRP,Discount
Voltas 1.2 Ton 3 Star Split Inverter AC  - White,Voltas,4.2,4734, 494,"['Power Consumption: 1430 W', 'Room Size: 91 to 110 sqft', '1 Year Air Conditioner and 5 Years Compressor']",30490,54990,44
"MOTOROLA Multi-Convertible 1.5 Ton 3 Star Split Inverter AC  - Indoor Unit-Silver, Outdoor Unit-White",MOTOROLA,4.2,131, 20,"['Power Consumption: 1013.15 kWh', 'Room Size: 111 to 150 sqft', '1 Year on Product and 10 Years on Compressor']",31999,53999,40
Voltas 2 in 1 Convertible Cooling 1.2 Ton 5 Star Split Inverter AC  - White,Voltas,4.2,4071, 415,"['Power Consumption: 688.95 kWh', 'Room Size: 91 to 110 sqft', '1 Year on Product and 5 Years on Compressor from Voltas']",35999,56990,36
Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,Panasonic,4.3,11773," 1,430","['Power Consumption: 1770 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor']",36990,55400,33
IFB 1.5 Ton 5 Star Split Inverter AC  - White,IFB,4.3,840, 108,"['Power Consumption: 2590 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 4 Years Super Warranty, 10 Years on Compressor and 5 Years on Outdoor Unit PCB']",42990,54390,20
Whirlpool 4 in 1 Convertible Cooling 1 Ton 5 Star Split Inverter AC  - White,Whirlpool,4.1,6539, 753,"['Power Consumption: 840 W', 'Room Size: 90 sqft or Below', '1 year comprehensive+5year on compressor']",34990,61500,43
SAMSUNG Convertible 5-in-1 Cooling Mode 1.5 Ton 4 Star Split Inverter Anti Bacteria Filter AC  - White,SAMSUNG,4.2,107, 7,"['Power Consumption: 1490 W', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product, 10 Years Warranty on Compressor']",35499,62990,43
Lloyd 1.2 Ton 5 Star Split Inverter AC  - White,Lloyd,4.3,972, 199,"['Power Consumption: 690.69 kWh', 'Room Size: 91 to 110 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",35999,56990,36
Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,Whirlpool,4.1,3474, 404,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 year comprehensive+10year on compressor']",32990,62200,46
Daikin 1.5 Ton 4 Star Hot and Cold Split Inverter AC  - White,Daikin,4.4,15, 1,"['Power Consumption: 1600 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",45296,61299,26
Voltas 0.75 Ton 3 Star Split AC  - White,Voltas,4.1,129, 12,"['Power Consumption: 940 W', 'Room Size: 90 sqft or Below', '1 Year on Air Conditioner and 1 Year on Compressor']",26990,48990,44
LG 1.5 Ton 3 Star Split Dual Inverter Convertible 5-in-1 Cooling HD Filter with Anti-Virus Protection ...,LG,4,4715, 513,"['Power Consumption: 962.65 kWh', 'Room Size: 111 to 150 sqft', '1 Year on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",36990,68990,46
"LG Super Convertible 6-in-1 Cooling 1 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with A...",LG,4.2,1666, 187,"['Power Consumption: 571.99 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",37990,61990,38
LG 1.5 Ton 5 Star Window Smart AC with Wi-fi Connect  - White,LG,4.3,2461, 292,"['Power Consumption: 5000 W', 'Room Size: 111 to 150 sqft', '1 year on product , 5 years on PCB and 10 years on Compressor']",36999,55990,33
Lloyd 1.2 Ton 3 Star Split Inverter AC  - White,Lloyd,4.3,633, 129,"['Power Consumption: 918.14 kWh', 'Room Size: 91 to 110 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",30999,51990,40
Voltas 1.5 Ton 3 Star Split Inverter adjustible AC  - White,Voltas,4,87, 8,"['Power Consumption: 1675 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",33989,61990,45
LG Convertible 5-in-1 Cooling 1.5 Ton 5 Star Split Dual Inverter AC  - White,LG,4.2,9111, 948,"['Power Consumption: 818.81 kWh', 'Room Size: 111 to 150 sqft', '1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG']",43990,66990,34
